[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         11148287 function calls (10944247 primitive calls) in 68.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1248    0.005    0.000    0.038    0.000 dropout.py:69(forward)
       96    0.005    0.000    0.084    0.001 modeling_attn_mask_utils.py:435(_prepare_4d_attention_mask_for_sdpa)
      576    0.005    0.000    0.005    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
    42311    0.005    0.000    0.005    0.000 {built-in method builtins.issubclass}
      766    0.005    0.000    0.089    0.000 dataclasses.py:527(_init_fn)
     7034    0.005    0.000    0.006    0.000 base.py:5385(__getitem__)
     3490    0.005    0.000    0.126    0.000 frame.py:4486(_set_item_mgr)
     7453    0.005    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       96    0.005    0.000   56.532    0.589 modeling_bert.py:880(forward)
     5868    0.005    0.000    0.006    0.000 base.py:5335(__contains__)
       96    0.005    0.000    0.697    0.007 tokenization_utils_base.py:3088(batch_encode_plus)
     5825    0.005    0.000    0.012    0.000 common.py:1200(is_bool_dtype)
     1483    0.004    0.000    0.009    0.000 _docscrape.py:168(_is_at_section)
        1    0.004    0.004    0.014    0.014 {built-in method torch._C._initExtension}
     4725    0.004    0.000    0.008    0.000 blocks.py:2718(maybe_coerce_values)
     3746    0.004    0.000    0.008    0.000 dataclasses.py:663(_is_type)
     7293    0.004    0.000    0.198    0.000 <frozen importlib._bootstrap>:169(__enter__)
    48514    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     3518    0.004    0.000    0.038    0.000 blocks.py:1353(take_nd)
      487    0.004    0.000    0.005    0.000 utils.py:122(is_tensorlist_like_type)
     3000    0.004    0.000    0.198    0.000 SentenceTransformer.py:1985(_text_length)
        1    0.004    0.004    0.031    0.031 modeling_utils.py:736(_load_state_dict_into_meta_model)
    38833    0.004    0.000    0.004    0.000 {built-in method _imp.release_lock}
     8388    0.004    0.000    0.040    0.000 <frozen importlib._bootstrap>:391(cached)
       16    0.004    0.000    0.006    0.000 managers.py:2246(_stack_arrays)
    14652    0.004    0.000    0.005    0.000 {method 'update' of 'dict' objects}
        5    0.004    0.001    0.025    0.005 _config_module.py:240(get_assignments_with_compile_ignored_comments)
    28545    0.004    0.000    0.004    0.000 {method 'partition' of 'str' objects}
    31598    0.004    0.000    0.004    0.000 assumptions.py:489(as_property)
        1    0.004    0.004   68.529   68.529 ECS_CA4_P3_optimized.py:1(<module>)
      993    0.004    0.000    0.004    0.000 {method 'copy' of 'dict' objects}
     3149    0.004    0.000    0.168    0.000 inspect.py:3252(signature)
     4290    0.004    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
    16406    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
 3133/995    0.004    0.000    0.005    0.000 import_utils.py:2649(flatten_dict)
     4294    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
    12281    0.004    0.000    0.005    0.000 inspect.py:2969(<genexpr>)
       96    0.004    0.000    0.016    0.000 std.py:464(format_meter)
     3692    0.004    0.000    0.004    0.000 {built-in method numpy.empty}
    19963    0.004    0.000    0.006    0.000 range.py:999(__len__)
       96    0.004    0.000    0.033    0.000 modeling_bert.py:699(forward)
     1886    0.004    0.000    0.011    0.000 _docscrape.py:67(read_to_condition)
    23471    0.004    0.000    0.004    0.000 __init__.py:34(using_copy_on_write)
    45656    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
    30926    0.004    0.000    0.004    0.000 {method '__exit__' of '_thread.lock' objects}
 1957/374    0.004    0.000    0.005    0.000 {built-in method _abc._abc_subclasscheck}
      124    0.004    0.000    0.064    0.001 autograd.py:23(make_autograd_impl)
     6152    0.004    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
14463/14453    0.004    0.000    0.010    0.000 {method 'extend' of 'list' objects}
     2123    0.004    0.000    0.009    0.000 enum.py:89(__setitem__)
       36    0.004    0.000    0.004    0.000 concat.py:52(concat_compat)
    15315    0.004    0.000    0.005    0.000 enum.py:678(__new__)
     6032    0.004    0.000    0.009    0.000 conflict.py:12(consistent)
      913    0.004    0.000    0.041    0.000 __init__.py:64(_add_op_to_registry)
     2243    0.004    0.000    0.005    0.000 typing_extensions.py:3092(_has_generic_or_protocol_as_origin)
     3657    0.004    0.000    0.006    0.000 _policybase.py:301(header_source_parse)
    20068    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
     4503    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:357(__init__)
       96    0.004    0.000    0.004    0.000 {built-in method torch.clamp}
4104/4102    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
     1225    0.004    0.000    0.091    0.000 _ops.py:1249(__getattr__)
     3533    0.004    0.000    0.010    0.000 base.py:82(shape)
 1442/355    0.004    0.000    0.069    0.000 sre_parse.py:436(_parse_sub)
    30550    0.004    0.000    0.004    0.000 {built-in method _thread.get_ident}
     4097    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      576    0.004    0.000   55.995    0.097 modeling_layers.py:50(__call__)
     3149    0.004    0.000    0.164    0.000 inspect.py:2998(from_callable)
    13568    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:897(__exit__)
     5847    0.003    0.000    0.004    0.000 base.py:3784(get_loc)
     8116    0.003    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
  3772/89    0.003    0.000    0.007    0.000 copy.py:128(deepcopy)
     3505    0.003    0.000    0.012    0.000 blocks.py:2776(new_block_2d)
       89    0.003    0.000    0.016    0.000 conflict.py:27(<setcomp>)
    13568    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:893(__enter__)
     4101    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1717    0.003    0.000    0.008    0.000 typing.py:267(_remove_dups_flatten)
    620/5    0.003    0.000    0.011    0.002 module.py:912(_apply)
     7293    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:173(__exit__)
      274    0.003    0.000    0.013    0.000 traceback.py:338(extract)
    22846    0.003    0.000    0.003    0.000 {method 'keys' of 'dict' objects}
      137    0.003    0.000    0.297    0.002 __init__.py:267(_make_prim)
     1181    0.003    0.000    0.237    0.000 frame.py:4067(__getitem__)
     4742    0.003    0.000    0.004    0.000 blocks.py:2747(get_block_type)
     1263    0.003    0.000    0.005    0.000 _VF.py:27(__getattr__)
     3200    0.003    0.000    0.055    0.000 inspect.py:838(getabsfile)
     4461    0.003    0.000    0.220    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    29826    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
      674    0.003    0.000    0.003    0.000 {built-in method _abc._abc_init}
    25128    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
     1160    0.003    0.000    0.053    0.000 arraylike.py:345(_reconstruct)
     1185    0.003    0.000    0.020    0.000 managers.py:317(apply)
     8452    0.003    0.000    0.004    0.000 inspect.py:277(isfunction)
      920    0.003    0.000    0.005    0.000 pathlib.py:56(parse_parts)
    15089    0.003    0.000    0.004    0.000 inspect.py:182(ismodule)
       21    0.003    0.000    0.003    0.000 {method 'write' of '_ssl._SSLSocket' objects}
       32    0.003    0.000    0.003    0.000 managers.py:288(<listcomp>)
    23503    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
 5360/625    0.003    0.000    4.753    0.008 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
     5108    0.003    0.000    0.004    0.000 typing.py:1902(get_origin)
     3535    0.003    0.000    0.028    0.000 take.py:59(take_nd)
       96    0.003    0.000    0.003    0.000 {built-in method torch.all}
    13230    0.003    0.000    0.003    0.000 inspect.py:1684(_static_getmro)
