[EMBEDDING][INFO]: Loading model all-MiniLM-L6-v2...
[EMBEDDING][INFO]: Embedding column 'title'...
[EMBEDDING][INFO]: Embedding column 'tags'...
[EMBEDDING][INFO]: Embedding column 'description'...
Preprocessing complete. Final shape: (1000, 1181)
         2362319229 function calls (2358581797 primitive calls) in 1044.928 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1184    0.009    0.000    0.436    0.000 generic.py:6451(dtypes)
     4281    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
    95576    0.009    0.000    0.009    0.000 {built-in method posix.fspath}
     2749    0.009    0.000    0.009    0.000 {method 'size' of 'torch._C.TensorBase' objects}
      263    0.009    0.000    0.043    0.000 feedparser.py:218(_parsegen)
     1192    0.009    0.000    0.009    0.000 {method 'take' of 'numpy.ndarray' objects}
     4090    0.009    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
    42137    0.008    0.000    0.012    0.000 inspect.py:191(isclass)
      576    0.008    0.000   57.035    0.099 modeling_bert.py:541(forward)
    85340    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
     4688    0.008    0.000    0.014    0.000 blocks.py:2718(maybe_coerce_values)
     2392    0.008    0.000    0.022    0.000 _dtype.py:350(_name_get)
     1152    0.008    0.000    0.014    0.000 warnings.py:35(_formatwarnmsg_impl)
    49992    0.008    0.000    0.009    0.000 {built-in method builtins.issubclass}
     1170    0.008    0.000    0.258    0.000 frame.py:5249(_sanitize_column)
     4640    0.008    0.000    0.034    0.000 validation.py:690(_pandas_dtype_needs_early_conversion)
    31147    0.008    0.000    0.010    0.000 inspect.py:182(ismodule)
    10002    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap>:198(cb)
    15309    0.008    0.000    0.016    0.000 enum.py:359(__call__)
15759/14837    0.008    0.000    0.116    0.000 typing.py:306(inner)
     8185    0.008    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     2364    0.008    0.000    0.008    0.000 {method 'astype' of 'numpy.ndarray' objects}
       24    0.008    0.000    0.016    0.001 managers.py:2276(_merge_blocks)
     2243    0.008    0.000    0.022    0.000 typing_extensions.py:3127(_collect_type_vars)
      155    0.008    0.000    0.009    0.000 library.py:135(define)
    34116    0.007    0.000    0.007    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
 4089/625    0.007    0.000    4.475    0.007 <frozen importlib._bootstrap_external>:877(exec_module)
     4088    0.007    0.000    0.404    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
    10002    0.007    0.000    0.010    0.000 <frozen importlib._bootstrap>:71(__init__)
    22199    0.007    0.000    0.012    0.000 typing.py:935(_is_dunder)
    25822    0.007    0.000    0.008    0.000 feedparser.py:78(readline)
     1363    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
      223    0.007    0.000    0.016    0.000 __init__.py:328(namedtuple)
      576    0.007    0.000   34.023    0.059 modeling_bert.py:606(feed_forward_chunk)
     1174    0.007    0.000    0.431    0.000 managers.py:317(apply)
    30343    0.007    0.000    0.007    0.000 sre_parse.py:234(__next)
     4485    0.007    0.000    0.007    0.000 missing.py:184(_isna)
    38801    0.007    0.000    0.010    0.000 utils.py:375(<genexpr>)
      576    0.007    0.000   22.564    0.039 modeling_bert.py:473(forward)
     3696    0.007    0.000    0.012    0.000 inspect.py:612(unwrap)
